Epoch,Domain,Metric,Value,Stage
15,Tools,NDCG@10,0.2014502457272227,Val
15,Toys,HR@10,0.36059401798786866,Val
15,Toys,NDCG@10,0.19577518666312996,Val
15,Overall,HR@10,0.4717876029002889,Val
15,Overall,NDCG@10,0.2718009962011254,Val
16,Baby,HR@10,0.682686351435061,Val
16,Baby,NDCG@10,0.4073350678889116,Val
16,Tools,HR@10,0.37524950099800397,Val
16,Tools,NDCG@10,0.2172942124157379,Val
16,Toys,HR@10,0.38585024053545286,Val
16,Toys,NDCG@10,0.20950621537632236,Val
16,Overall,HR@10,0.48716131494303005,Val
16,Overall,NDCG@10,0.28148825186483817,Val
17,Baby,HR@10,0.6829444559157547,Val
17,Baby,NDCG@10,0.4040733994368814,Val
17,Tools,HR@10,0.3958749168330007,Val
17,Tools,NDCG@10,0.22741428442942802,Val
17,Toys,HR@10,0.40399498012968,Val
17,Toys,NDCG@10,0.2166552267126084,Val
17,Overall,HR@10,0.4997546748078286,Val
17,Overall,NDCG@10,0.2858649950755951,Val
18,Baby,HR@10,0.6849060499690275,Val
18,Baby,NDCG@10,0.40436584709344714,Val
18,Tools,HR@10,0.4168027581201234,Val
18,Tools,NDCG@10,0.238566038916964,Val
18,Toys,HR@10,0.4216691068814056,Val
18,Toys,NDCG@10,0.2260038824898406,Val
18,Overall,HR@10,0.5128750295298843,Val
18,Overall,NDCG@10,0.2925672965171843,Val
19,Baby,HR@10,0.6820669006813959,Val
19,Baby,NDCG@10,0.4035676952475934,Val
19,Tools,HR@10,0.4367023528700175,Val
19,Tools,NDCG@10,0.24948927231583845,Val
19,Toys,HR@10,0.43280694415394266,Val
19,Toys,NDCG@10,0.23162510684307383,Val
19,Overall,HR@10,0.5217249086845118,Val
19,Overall,NDCG@10,0.29752163540680515,Val
20,Baby,HR@10,0.6831509395003097,Val
20,Baby,NDCG@10,0.39814509815417215,Val
20,Tools,HR@10,0.4501905280348394,Val
20,Tools,NDCG@10,0.25745097672944517,Val
20,Toys,HR@10,0.4500104580631667,Val
20,Toys,NDCG@10,0.24303573083851812,Val
20,Overall,HR@10,0.5321376001744534,Val
20,Overall,NDCG@10,0.301970218544156,Val
21,Baby,HR@10,0.6804150320049556,Val
21,Baby,NDCG@10,0.3968526361080779,Val
21,Tools,HR@10,0.46815459989112684,Val
21,Tools,NDCG@10,0.26793202070786554,Val
21,Toys,HR@10,0.4506902321690023,Val
21,Toys,NDCG@10,0.24211596257133244,Val
21,Overall,HR@10,0.5368078649439386,Val
21,Overall,NDCG@10,0.3043445280354538,Val
22,Baby,HR@10,0.6785050588478216,Val
22,Baby,NDCG@10,0.3941211897733204,Val
22,Tools,HR@10,0.4690013911570798,Val
22,Tools,NDCG@10,0.26860445716387843,Val
22,Toys,HR@10,0.458899811754863,Val
22,Toys,NDCG@10,0.24562069671648348,Val
22,Overall,HR@10,0.5392429446291955,Val
22,Overall,NDCG@10,0.30480298356476027,Val
23,Baby,HR@10,0.6778856080941565,Val
23,Baby,NDCG@10,0.39599498958735935,Val
23,Tools,HR@10,0.47837658017298734,Val
23,Tools,NDCG@10,0.27338159223946323,Val
23,Toys,HR@10,0.46548839154988497,Val
23,Toys,NDCG@10,0.24819107181546549,Val
23,Overall,HR@10,0.5441312762361664,Val
23,Overall,NDCG@10,0.307791143945562,Val
24,Baby,HR@10,0.6693165393351228,Val
24,Baby,NDCG@10,0.39008332841481586,Val
24,Tools,HR@10,0.48091695397084616,Val
24,Tools,NDCG@10,0.27489728481190656,Val
24,Toys,HR@10,0.4670048107090567,Val
24,Toys,NDCG@10,0.24995073285077019,Val
24,Overall,HR@10,0.542404913772738,Val
24,Overall,NDCG@10,0.3067769514780424,Val
25,Baby,HR@10,0.6780920916787115,Val
25,Baby,NDCG@10,0.392995120313837,Val
25,Tools,HR@10,0.4821266557793504,Val
25,Tools,NDCG@10,0.2750732769882589,Val
25,Toys,HR@10,0.4635536498640452,Val
25,Toys,NDCG@10,0.2475134735197446,Val
25,Overall,HR@10,0.5446582710934235,Val
25,Overall,NDCG@10,0.30700786179574646,Val
26,Baby,HR@10,0.6750980797026637,Val
26,Baby,NDCG@10,0.39368672610637984,Val
26,Tools,HR@10,0.4892034113591,Val
26,Tools,NDCG@10,0.2774752102022085,Val
26,Toys,HR@10,0.47233842292407446,Val
26,Toys,NDCG@10,0.25325903026719043,Val
26,Overall,HR@10,0.5487833687691944,Val
26,Overall,NDCG@10,0.30996969967173044,Val
27,Baby,HR@10,0.6780920916787115,Val
27,Baby,NDCG@10,0.3927115487455475,Val
27,Tools,HR@10,0.490352628077179,Val
27,Tools,NDCG@10,0.2788159027278359,Val
27,Toys,HR@10,0.46956703618489853,Val
27,Toys,NDCG@10,0.2529999801289319,Val
27,Overall,HR@10,0.5492195024441658,Val
27,Overall,NDCG@10,0.30993917865277854,Val
28,Baby,HR@10,0.6771112946520752,Val
28,Baby,NDCG@10,0.39355431460783047,Val
28,Tools,HR@10,0.4910784491622815,Val
28,Tools,NDCG@10,0.28015550003936546,Val
28,Toys,HR@10,0.472809035766576,Val
28,Toys,NDCG@10,0.2538845469667739,Val
28,Overall,HR@10,0.5502189754493085,Val
28,Overall,NDCG@10,0.31094574026288513,Val
29,Baby,HR@10,0.6731364856493909,Val
29,Baby,NDCG@10,0.3895494146848618,Val
29,Tools,HR@10,0.4827315066836025,Val
29,Tools,NDCG@10,0.2729475352254096,Val
29,Toys,HR@10,0.47082200376490274,Val
29,Toys,NDCG@10,0.253337421623506,Val
29,Overall,HR@10,0.5456213996256519,Val
29,Overall,NDCG@10,0.3071801724960433,Val
30,Baby,HR@10,0.6731881065455296,Val
30,Baby,NDCG@10,0.3911757611046965,Val
30,Tools,HR@10,0.4870259481037924,Val
30,Tools,NDCG@10,0.2768583120777198,Val
30,Toys,HR@10,0.4765216481907551,Val
30,Toys,NDCG@10,0.2581564764215676,Val
30,Overall,HR@10,0.5489105744243944,Val
30,Overall,NDCG@10,0.3106024055095891,Val
31,Baby,HR@10,0.6768015692752426,Val
31,Baby,NDCG@10,0.39261321575193214,Val
31,Tools,HR@10,0.48418314885380753,Val
31,Tools,NDCG@10,0.27321433492480923,Val
31,Toys,HR@10,0.4739594227149132,Val
31,Toys,NDCG@10,0.25750666549481577,Val
31,Overall,HR@10,0.5484380962765087,Val
31,Overall,NDCG@10,0.30978780798817274,Val
32,Baby,HR@10,0.6807247573817882,Val
32,Baby,NDCG@10,0.39463047408905877,Val
32,Tools,HR@10,0.484304119034658,Val
32,Tools,NDCG@10,0.27005634059078737,Val
32,Toys,HR@10,0.4769399707174231,Val
32,Toys,NDCG@10,0.2603619660356455,Val
32,Overall,HR@10,0.5508913481982227,Val
32,Overall,NDCG@10,0.31054144653739696,Val
33,Baby,HR@10,0.6811377245508982,Val
33,Baby,NDCG@10,0.39501057400276024,Val
33,Tools,HR@10,0.4827919917740277,Val
33,Tools,NDCG@10,0.2716196393874136,Val
33,Toys,HR@10,0.47704455134909013,Val
33,Toys,NDCG@10,0.2604655486280131,Val
33,Overall,HR@10,0.5506187646513656,Val
33,Overall,NDCG@10,0.31118093168212585,Val
34,Baby,HR@10,0.6743237662605823,Val
34,Baby,NDCG@10,0.39217824521046835,Val
34,Tools,HR@10,0.48194520050807477,Val
34,Tools,NDCG@10,0.2717702004381491,Val
34,Toys,HR@10,0.4802342606149341,Val
34,Toys,NDCG@10,0.26250247845035396,Val
34,Overall,HR@10,0.5490741245525087,Val
34,Overall,NDCG@10,0.31093698028213634,Val
35,Baby,HR@10,0.6828412141234772,Val
35,Baby,NDCG@10,0.3978288789804293,Val
35,Tools,HR@10,0.48303393213572854,Val
35,Tools,NDCG@10,0.2715355684913933,Val
35,Toys,HR@10,0.4832670989332776,Val
35,Toys,NDCG@10,0.2668294508447983,Val
35,Overall,HR@10,0.5534536335386796,Val
35,Overall,NDCG@10,0.314359428945338,Val
36,Baby,HR@10,0.6802085484204006,Val
36,Baby,NDCG@10,0.3967180143617607,Val
36,Tools,HR@10,0.4837597532208311,Val
36,Tools,NDCG@10,0.2708545882085441,Val
36,Toys,HR@10,0.4774105835599247,Val
36,Toys,NDCG@10,0.2641534708267212,Val
36,Overall,HR@10,0.5507096258336514,Val
36,Overall,NDCG@10,0.31283380139850087,Val
37,Baby,HR@10,0.6838220111501135,Val
37,Baby,NDCG@10,0.39815438543596504,Val
37,Tools,HR@10,0.4784975503538378,Val
37,Tools,NDCG@10,0.2688177614630482,Val
37,Toys,HR@10,0.47856097050826185,Val
37,Toys,NDCG@10,0.2637148955062287,Val
37,Overall,HR@10,0.5508004870159371,Val
37,Overall,NDCG@10,0.3125750870740011,Val
38,Baby,HR@10,0.681602312616147,Val
38,Baby,NDCG@10,0.3951869088058396,Val
38,Tools,HR@10,0.486904977922942,Val
38,Tools,NDCG@10,0.271473365935252,Val
38,Toys,HR@10,0.4842606149341142,Val
38,Toys,NDCG@10,0.266838693384192,Val
38,Overall,HR@10,0.5545257954896509,Val
38,Overall,NDCG@10,0.31341389319583374,Val
39,Baby,HR@10,0.6848544290728887,Val
39,Baby,NDCG@10,0.39668267242230215,Val
39,Tools,HR@10,0.4845460593963588,Val
39,Tools,NDCG@10,0.2710762296341075,Val
39,Toys,HR@10,0.4801819702991006,Val
39,Toys,NDCG@10,0.26536107080744603,Val
39,Overall,HR@10,0.5535444947209653,Val
39,Overall,NDCG@10,0.31330762239595733,Val
40,Baby,HR@10,0.6867127813338839,Val
40,Baby,NDCG@10,0.3975535429234998,Val
40,Tools,HR@10,0.48363878303998065,Val
40,Tools,NDCG@10,0.2714874515567601,Val
40,Toys,HR@10,0.4846789374607823,Val
40,Toys,NDCG@10,0.2678421076164221,Val
40,Overall,HR@10,0.5554889240218793,Val
40,Overall,NDCG@10,0.3145999697642772,Val
41,Baby,HR@10,0.6819636588891184,Val
41,Baby,NDCG@10,0.39570529999725307,Val
41,Tools,HR@10,0.48067501360914533,Val
41,Tools,NDCG@10,0.26936366082081586,Val
41,Toys,HR@10,0.4829533570382765,Val
41,Toys,NDCG@10,0.267697419266283,Val
41,Overall,HR@10,0.5523269548783368,Val
41,Overall,NDCG@10,0.3132609700693404,Val
42,Baby,HR@10,0.6864546768531902,Val
42,Baby,NDCG@10,0.398495658616602,Val
42,Tools,HR@10,0.4792233714389403,Val
42,Tools,NDCG@10,0.2691748197471499,Val
42,Toys,HR@10,0.4832670989332776,Val
42,Toys,NDCG@10,0.2688830586604988,Val
42,Overall,HR@10,0.5535808391938796,Val
42,Overall,NDCG@10,0.3145985717971219,Val
43,Baby,HR@10,0.6806215155895107,Val
43,Baby,NDCG@10,0.3957702447812074,Val
43,Tools,HR@10,0.48660255247081596,Val
43,Tools,NDCG@10,0.2733923163017398,Val
43,Toys,HR@10,0.483110227985777,Val
43,Toys,NDCG@10,0.27284790432647293,Val
43,Overall,HR@10,0.5536898726126225,Val
43,Overall,NDCG@10,0.31628413508618514,Val
44,Baby,HR@10,0.6855255007226926,Val
44,Baby,NDCG@10,0.3993100304170102,Val
44,Tools,HR@10,0.48611867174741424,Val
44,Tools,NDCG@10,0.2721655775181473,Val
44,Toys,HR@10,0.4821690023007739,Val
44,Toys,NDCG@10,0.2711408304840516,Val
44,Overall,HR@10,0.5549437569281651,Val
44,Overall,NDCG@10,0.31656843926880107,Val
45,Baby,HR@10,0.6821701424736734,Val
45,Baby,NDCG@10,0.3942185846673403,Val
45,Tools,HR@10,0.479707252162342,Val
45,Tools,NDCG@10,0.26761205898309154,Val
45,Toys,HR@10,0.4832670989332776,Val
45,Toys,NDCG@10,0.27034264705103117,Val
45,Overall,HR@10,0.552217921459594,Val
45,Overall,NDCG@10,0.31313062886018445,Val
46,Baby,HR@10,0.6844930827999174,Val
46,Baby,NDCG@10,0.3977440181973768,Val
46,Tools,HR@10,0.4820056855985,Val
46,Tools,NDCG@10,0.26988896840532506,Val
46,Toys,HR@10,0.4848358084082828,Val
46,Toys,NDCG@10,0.27238815748346645,Val
46,Overall,HR@10,0.5542713841792509,Val
46,Overall,NDCG@10,0.3157666422954921,Val
47,Baby,HR@10,0.6849576708651662,Val
47,Baby,NDCG@10,0.39931890704592,Val
47,Tools,HR@10,0.47892094598681423,Val
47,Tools,NDCG@10,0.26616387916307593,Val
47,Toys,HR@10,0.4889144530432964,Val
47,Toys,NDCG@10,0.27506098171864224,Val
47,Overall,HR@10,0.554925584691708,Val
47,Overall,NDCG@10,0.31613075825263065,Val
48,Baby,HR@10,0.6857319843072476,Val
48,Baby,NDCG@10,0.3982010590093068,Val
48,Tools,HR@10,0.476259602008105,Val
48,Tools,NDCG@10,0.26537484621676816,Val
48,Toys,HR@10,0.48938506588579794,Val
48,Toys,NDCG@10,0.274377993114696,Val
48,Overall,HR@10,0.5545621399625652,Val
48,Overall,NDCG@10,0.31526282483700535,Val
49,Baby,HR@10,0.6878484410489366,Val
49,Baby,NDCG@10,0.4016459855937163,Val
49,Tools,HR@10,0.4763200870985302,Val
49,Tools,NDCG@10,0.2666902064552864,Val
49,Toys,HR@10,0.4938297427316461,Val
49,Toys,NDCG@10,0.2777071716827321,Val
49,Overall,HR@10,0.556870013992622,Val
49,Overall,NDCG@10,0.3180277157045792,Val
50,Baby,HR@10,0.6843382201115011,Val
50,Baby,NDCG@10,0.39907813787952096,Val
50,Tools,HR@10,0.48000967761446806,Val
50,Tools,NDCG@10,0.26634330517712795,Val
50,Toys,HR@10,0.4921564526249739,Val
50,Toys,NDCG@10,0.27764191892931983,Val
50,Overall,HR@10,0.5561612967707936,Val
50,Overall,NDCG@10,0.316996849099563,Val
51,Baby,HR@10,0.6900165186867644,Val
51,Baby,NDCG@10,0.39990513229861613,Val
51,Tools,HR@10,0.4783160950825622,Val
51,Tools,NDCG@10,0.26733809708808065,Val
51,Toys,HR@10,0.49424806525831416,Val
51,Toys,NDCG@10,0.2788681242277208,Val
51,Overall,HR@10,0.5583783096185647,Val
51,Overall,NDCG@10,0.3180129929632914,Val
52,Baby,HR@10,0.6907908321288457,Val
52,Baby,NDCG@10,0.4017248202669846,Val
52,Tools,HR@10,0.48152180487509827,Val
52,Tools,NDCG@10,0.27001996930349065,Val
52,Toys,HR@10,0.4936728717841456,Val
52,Toys,NDCG@10,0.2789935309243475,Val
52,Overall,HR@10,0.5594141270966217,Val
52,Overall,NDCG@10,0.31950291039458933,Val
53,Baby,HR@10,0.6921329754284534,Val
53,Baby,NDCG@10,0.4061631105682825,Val
53,Tools,HR@10,0.4786790056251134,Val
53,Tools,NDCG@10,0.2671109529766761,Val
53,Toys,HR@10,0.49550303283831837,Val
53,Toys,NDCG@10,0.2810049676403073,Val
53,Overall,HR@10,0.5596685384070218,Val
53,Overall,NDCG@10,0.32089036988942904,Val
54,Baby,HR@10,0.6865579186454677,Val
54,Baby,NDCG@10,0.3975076657856673,Val
54,Tools,HR@10,0.48502994011976047,Val
54,Tools,NDCG@10,0.27050447823937634,Val
54,Toys,HR@10,0.49837900020916126,Val
54,Toys,NDCG@10,0.2816759917149556,Val
54,Overall,HR@10,0.5606134947027931,Val
54,Overall,NDCG@10,0.3190961257861921,Val
55,Baby,HR@10,0.6986888292380756,Val
55,Baby,NDCG@10,0.4101443558431426,Val
55,Tools,HR@10,0.4773483336357588,Val
55,Tools,NDCG@10,0.26547627909342386,Val
55,Toys,HR@10,0.5004183225266681,Val
55,Toys,NDCG@10,0.2828734026964832,Val
55,Overall,HR@10,0.5632848134619928,Val
55,Overall,NDCG@10,0.32245010334210106,Val
56,Baby,HR@10,0.692855667974396,Val
56,Baby,NDCG@10,0.4050351960566965,Val
56,Tools,HR@10,0.47958628198149156,Val
56,Tools,NDCG@10,0.26632191365471564,Val
56,Toys,HR@10,0.49210416230914034,Val
56,Toys,NDCG@10,0.27947042933709926,Val
56,Overall,HR@10,0.5590143378945647,Val
56,Overall,NDCG@10,0.31972295529823225,Val
57,Baby,HR@10,0.6838220111501135,Val
57,Baby,NDCG@10,0.39698155672076835,Val
57,Tools,HR@10,0.48194520050807477,Val
57,Tools,NDCG@10,0.26825509818059184,Val
57,Toys,HR@10,0.4991110646308304,Val
57,Toys,NDCG@10,0.28538170252199485,Val
57,Overall,HR@10,0.5589779934216504,Val
57,Overall,NDCG@10,0.3195229412499787,Val
58,Baby,HR@10,0.6935267396241999,Val
58,Baby,NDCG@10,0.40423537137109145,Val
58,Tools,HR@10,0.4783160950825622,Val
58,Tools,NDCG@10,0.2665120366133763,Val
58,Toys,HR@10,0.493411420204978,Val
58,Toys,NDCG@10,0.28389329169571015,Val
58,Overall,HR@10,0.5593232659143361,Val
58,Overall,NDCG@10,0.32103557080663825,Val
59,Baby,HR@10,0.6883646500103242,Val
59,Baby,NDCG@10,0.40158998432032944,Val
59,Tools,HR@10,0.4769854230932075,Val
59,Tools,NDCG@10,0.2646428670078572,Val
59,Toys,HR@10,0.49152896883497177,Val
59,Toys,NDCG@10,0.2792354450668983,Val
59,Overall,HR@10,0.5564520525541078,Val
59,Overall,NDCG@10,0.3179240100302329,Val
60,Baby,HR@10,0.6876935783605204,Val
60,Baby,NDCG@10,0.3988921433333166,Val
60,Tools,HR@10,0.4829129619548781,Val
60,Tools,NDCG@10,0.2686426409477383,Val
60,Toys,HR@10,0.5019347416858397,Val
60,Toys,NDCG@10,0.28623456008752246,Val
60,Overall,HR@10,0.5616129677079358,Val
60,Overall,NDCG@10,0.3206083539689209,Val
61,Baby,HR@10,0.6906875903365682,Val
61,Baby,NDCG@10,0.40424554303684745,Val
61,Tools,HR@10,0.4826105365027521,Val
61,Tools,NDCG@10,0.2686199471155436,Val
61,Toys,HR@10,0.49905877431499684,Val
61,Toys,NDCG@10,0.2869636034580257,Val
61,Overall,HR@10,0.5615766232350216,Val
61,Overall,NDCG@10,0.32273946824224264,Val
62,Baby,HR@10,0.6956431963658889,Val
62,Baby,NDCG@10,0.4057475392738485,Val
62,Tools,HR@10,0.47728784854533357,Val
62,Tools,NDCG@10,0.2663515188973627,Val
62,Toys,HR@10,0.5009935160008366,Val
62,Toys,NDCG@10,0.28716539301565075,Val
62,Overall,HR@10,0.5623943738755929,Val
62,Overall,NDCG@10,0.3226568167470678,Val
63,Baby,HR@10,0.6972434441461903,Val
63,Baby,NDCG@10,0.4070359943673977,Val
63,Tools,HR@10,0.48484848484848486,Val
63,Tools,NDCG@10,0.27209321229403455,Val
63,Toys,HR@10,0.5019870320016733,Val
63,Toys,NDCG@10,0.28779527880998507,Val
63,Overall,HR@10,0.5655745152555925,Val
63,Overall,NDCG@10,0.32505433996083255,Val
64,Baby,HR@10,0.6945591575469751,Val
64,Baby,NDCG@10,0.4081799154404107,Val
64,Tools,HR@10,0.4786790056251134,Val
64,Tools,NDCG@10,0.26593613060316407,Val
64,Toys,HR@10,0.5016209997908387,Val
64,Toys,NDCG@10,0.2890307642469329,Val
64,Overall,HR@10,0.5626487851859928,Val
64,Overall,NDCG@10,0.3240365571722563,Val
65,Baby,HR@10,0.6991017964071856,Val
65,Baby,NDCG@10,0.41043157597931185,Val
65,Tools,HR@10,0.48134034960382266,Val
65,Tools,NDCG@10,0.2693598443364889,Val
65,Toys,HR@10,0.5037126124241791,Val
65,Toys,NDCG@10,0.29022845824964993,Val
65,Overall,HR@10,0.5657744098566211,Val
65,Overall,NDCG@10,0.3262740706146342,Val
66,Baby,HR@10,0.6966756142886641,Val
66,Baby,NDCG@10,0.40671160647517646,Val
66,Tools,HR@10,0.4827919917740277,Val
